aba	acostamento/berma
artefato	adorno/brinquedo/fureca/ornato/têxteis/pano/infra-estrutura/edifício/instalação/ornamento/tecido/estrutura/decoração/fazenda
artigo	reportagem/boletim/importação/estoque/estória/inventário/relato/mercadoria/produto
artimanha	fraude/hoax/enganação/trote/truque
artista	fotógrafa/fotógrafo/musico/músico/pintora/mediador/músico/pintor/intérprete/mestre
artropode	insectos/insetos/hemípteros/insecto/inseto
artrópode	insectos/insetos/hemípteros/insecto/inseto
artrópodes	insectos/insetos/hemípteros/insecto/inseto
arvoreta	rosa/rosas/rosa
ascendencia	supremacia/monopólio/domínio
ascendência	extração/origem
asco	revulsão/abominação/repulsa/aversão
asilo	barraco/casebre/guarida/tenda/cabana/choupana/choça/barraca/santuário/refúgio
aspecto	efeito/cor/rosto/aparência/impressão
assalariado	balconista/caixeiro
assassinato	sacrificio/suicídio/auto-destruição/sacrifício/massacre
assassínio	massacre
assembleia	juizado/legislatura/tribunal/corte
assembléia	juizado/legislatura/tribunal/encontro/corte/reunião
assento	banqueta/banquinho/cadeirão/canapé/tamborete/poltrona/sofá/banco/cadeira
asserção	acusação/afirmação/negação
assessoramento	repreensão
assistente	aeromoço/tafeiro/manequim/secretário/secretária/modelo
assistência	consolação/consolo/apoio/mão/ajuda/conforto/suporte/serviço
associado	aliada/participante/membro/aliado/colega
associação	guilda/clube/sociedade/ordem
assunto	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/requerimento/significância/submissão/tolice/bobagem/propaganda/requisição/significação/solicitação/conselho/direção/matéria/promoção/publicidade/tópico/besteira/petição/tema/informação/apelo/opinião/significado/anúncio/entrada/história/intenção
astro	planeta/estrela
astucidade	astúcia
astúcia	fraude/hoax/trote
atadura	esparadrapo/penso/ligadura/gesso
ataque	apoplexia/avc/paroxismo/derrame/convulsão/crise/assalto
atentado	assalto
atenção	concentração
atitude	mentalidade/postura/cultura/tendência/posição
atividade	abastecimento/didáctica/ensinamento/ingestão/posicionamento/sobrevivencia/treinamento/treino/trâmite/agressão/interação/protecção/provimento/auxílio/conduta/consumo/desempenho/desvio/ensino/feito/ofício/pedagogia/performance/socorro/colocação/conquista/façanha/fornecimento/ajuda/comportamento/educação/hostilidade/oposição/procedimento/processo/profissão/esforço/instrução/liderança/manobra/ocupação/preparação/proteção/assistência/costume/criação/emprego/função/solo/tentativa/corrente/execução/formação/hábito/operação/papel/realização/curso/jogo/serviço/trabalho/lugar/caminho
ativo	fundos/investimento/capital/crédito
ativos	fundos/investimento/capital/crédito
atleta	corredor
atmosfera	trevas/céu/cheiro/tom/cara
ato	acta/critica/decreto/trâmite/agressão/interação/parto/conduta/desempenho/feito/juízo/performance/conquista/façanha/rejeição/hostilidade/oposição/recuperação/julgamento/corrente/execução/partida/produção/realização/curso/caminho
atratividade	afinidade
atração	gravitação/gravidade/afinidade
atribuição	alocação/quota/cota/mesada/pensão
atributo	feição/isotropia/peculiaridade/temperamento/constituição/fraqueza/grandeza/característica/odor/cheiro/composição/estrutura/idade/personalidade/magnitude/pessoa/grau/qualidade/concentração/força/número
atrito	tracção/tração
atuação	concertos/concerto/show
aula	seminário
aumento	ampliação/acréscimo/expansão/acumulação/pulo/salto
ausência	penúria/escassez/fome/falta/carência
auto	ambulancia/taxi/ambulância/compacto/táxi
auto-estima	brio/pundonor/dignidade/egoísmo
auto-estrada	autoestrada/rodovia
autocracia	monarquia
autoestradas	autoestrada/auto-estrada/rodovia
automóvel	ambulancia/taxi/ambulância/compacto/táxi
autor	ghost-writer/ghostwriter
autoridade	assessor/conselheiro/consultor/orientador
autoridades	corte
autorização	laissez-passer/passe
auxílio	apoio/mão/ajuda/suporte/serviço
avaliação	nota/classe
avenida	bulevar/alameda
aversão	desdém/escárnio/revulsão/abominação/desprezo/repulsa
aviador	piloto
aviadora	piloto
aviatriz	piloto
aviso	demissão/notificação/comunicação/anúncio/nota/programa
avião	bombardeiro
avó	vovozinha/vovó/vovô/avô
avós	vovozinha/vovó/vovô/avó/avô
avô	vovozinha/vovó/vovô/avó
azar	lástima/adversidade/calamidade/cataclismo/catástrofes/tragédia/catástrofe/flagelo/desastre/pena/acidente
azul	azul-ferrete/azul-marinho/naval/marinho
ação	critica/sobrevivencia/trâmite/agressão/interação/parto/conduta/desempenho/desvio/feito/juízo/performance/conquista/façanha/rejeição/hostilidade/oposição/recuperação/julgamento/corrente/execução/partida/produção/realização/curso/caminho
baga	morango
bagagem	valise/mala
bagagens	valise/mala
bagunça	comoção/zona/confusão
banca	barraquinha/estande/barraca
bancas	barraquinha/estande/barraca
banda	coirela/listrão/fita
bandeira	estandarte
banimento	exílio/deportação
baralho	paus/copas
barco	batel/iate/balsa/bote/escaler
barra	haste/pau/vara/cabo
barreira	sebe/sebes/estacada/paliçada/cerca
basidiomicetos	cogumelos
bastão	clava/porrete/bengala
batalha	combate/luta
batel	balsa
bebida	álcoois/álcool/leite/chá/café
belas-artes	mosaico
bem	importação/especialidade/mercadoria/possessão/benefício/dinheiro/produto/lucro/propriedade/recurso/artigo
bem-estar	saúde
beneficiário	pensionista
benefício	gorjeta/proveito/privilégio/liderança/lucro/bem
bens	livros/película/fundos/importação/cinema/filme/investimento/mercadoria/revista/capital/crédito/livro/produto/produção/artigo
besta	cria/embriões/predadores/embrião/prole/filhote/presa
bica	torneira
bicha	filaúnica/fileira/umapósooutro/fila
bicho	cria/embriões/predadores/embrião/prole/filhote/presa
biologia	silvicultura
bioma	florestas/tapera/arvoredo/deserto/selva/bosque/mata/floresta
biomas	florestas/tapera/arvoredo/deserto/selva/bosque/mata/floresta
bisbilhotice	boato/diz-que-diz-que/rumor/fama/renome/fofoca
bisbolhetice	boato/diz-que-diz-que/rumor/fama/renome/fofoca
bloco	laje/placa
bloqueio	assédio/cerco/sítio
bobagem	solecismo/gafe
bobo	arlequim/bufão
boca	bico/arco
bocado	bocada/mordida/pedaço
bode	cabrita/cabrito
bola	berlinde
bolbo	cebola
bolo	biscoito/cookie/bolacha
bolsa	algibeira/bolso
bondade	virtudes/favor/gentileza/virtude
borda	acostamento/berma/margem/fronteira/limite
bote	balsa
boteco	botequim/pub/taberna/bar
botão	campainha
bovinos	vacas/gado/vaca
bovídeos	bode/ovinos/cabrito/cabra/ovelha/bode/carneiro
brigadeiro	general
brinde	galardão/prémio/prêmio/ajuda/presente
brinquedo	baloiço/escorregador/escorrego/pandorga/pipa/pião/boneca/boneco/balanço/balão/papagaio/bola
broadcast	recepção
bruma	névoa/neblina
bufão	arlequim/bobo
buraco	cavouco/fosso/ranhura/vala/poço
busca	procura
buscar	busca/procura
bônus	dividendo
cabelo	sobrancelha/sobrolho/supercílio/anel/cacho
cabeça	administrador/executivo/gerente
cabra	cabrita/cabrito
cabrito	cabrita
cache	troco
cachimbo	canudo/tubo
cadeira	banqueta/banquinho/cadeirão/canapé/tamborete/poltrona/sofá/assento/banco
cadáver	enchido/defunto/corpo
caixa	ataúde/caixão/esquife/féretro
calculadora	site/website/sítio
calça	short/shorts/jeans
calçado	alpercata/bota/sandália/sapato/chinelo
calçados	bota/sapato/calçado
camada	pigmento/tinta/pintura/cor
camarada	ficante/companheiro/acompanhante/irmão/amigo
camaradagem	afeição
caminho	escadaria/alameda/escada/passadeira/via/rodovia/órbita/trilha/boca/faixa/entrada/estrada
caminho-de-ferro	metrô/metropolitano/metro
caminhão	van
camisa	camiseta/t-shirt
camião	van
camiões	van
campo	prados/cercado/clareira/engenharia/roça/tecnologia/arquitetura/grama/gramado/pátio/relva/teologia/ciência/jardim/quintal/santuário/arquitectura/interior/prado
campos	canteiro
canabis	maconha
canais	canudo/tubo
canal	canudo/escoadouro/tubo
candeia	flash/vela
cano	canudo/tubo
canábis	maconha
canídeo	cachorra/cachorro/cadela/loba/lobo/matreiro/raposa/raposa-vermelha/cão/raposa
capa	envólucro/amparo/máscara/pigmento/protecção/cobertor/telhado/cobertura/tinta/camada/escudo/teto/pintura/proteção/cor/rede
capacidade	meta/técnica/inteligência/habilidade/talento
capital	orçamento/depósito
cara-metade	cónjuge/consorte/cônjuge/esposa/esposo/marido/companheiro/amante
caracter	inicial
caracterização	personagem/papel
característica	faceta/feição/peculiaridade/temperamento/personalidade/pessoa/qualidade
caractér	inicial
carburante	benzina/gasolina
cargo	catedra/presidência/cadeira
cargueiro	carga
caricatura	quadrinhos
carinho	apego/afeição
carne	enchidos/lingüiça/bife/salsicha
carnívoro	urso/ursídeos
carro	ambulancia/taxi/ambulância/compacto/táxi
carta	invitação/paus/convite/copas
cartoon	quadrinhos
cartão	cartão-postal
carácter	inicial
carência	deficit/penúria/ausência/escassez/fome/deficiência/falta
casa	bangalô/casinha/casinhola/morada/vivenda/apartamento/aposento/cabana/chalé/choça/cine/moradia/cinema/domicílio/residência/abrigo/habitação/lar
casaco	paleto/jaqueta
casadeoração	mesquita/mesquitas/igrejas/igreja/templo
castigo	punição
categoria	elemento/excedente/restante/resíduo/sobra/resto/substância/componente/tipo/classe
categorização	valorização/apreciação/avaliação
cativo	refém
caule	bolbo/galho/ramo/cebola
causa	alguém/fator/indivíduo/natureza/alma/processo/pessoa/poder/força
causador	alguém/indivíduo/natureza/alma/pessoa/poder/força
cavaleiro	jóquei/jóqueis/joquei
cavalo	pônei
celebração	festival
centro	coração
cerca	sebe/sebes
cereais	trigo
cereal	arroz/trigo/milho
cerimónia	boda/funeral/boda/enterro/funeral/casamento
cerimônia	boda/funeral/boda/enterro/funeral/casamento
cerque	habitat/cenário
certame	competição/torneio/corrida/combate/partida/jogo/luta
cerâmica	olaria/tijolo
cetáceos	beleia/caxarelo/caxaréu/rorqual/baleia
chaminé	fogo
chance	oportunidade/potenciabilidade/liquidação/potencial/promoção
chapa	painel/oposição
chapéu	quepe/sombreiro/barrete/boné/capacete/casco
chave	botão
chefe	empregador/líder/administrador/executivo/gerente/herói/político/treinador/cabeça/guia/liderança/exemplo/técnico/responsável/modelo
chegada	demolição/placar/destruição/regresso/vinda/volta/desolação/retorno/vitória/resultado
chofer	automobilista/condutor/motorista
choque	batidinha
chuva	garoa/chuvisco
chácara	lacticínios/leitaria/leiteria/mercearia/rancho/granja/herdade/roça/terras/fazenda
chão	florestas/arvoredo/selva/bosque/ilha/mata/floresta
cidadã	eleitor/votante/civil
cidadão	cidadã/eleitor/patriota/votante/civil
cientista	pesquisador/psicólogo/investigador
cilindro	cano/rolo/tambor/tubo/duto
cimento	colas/cola
cipó	batata
circunscrição	empreendimento
circunstância	justificativa/justificação
circunstâncias	falhanço/falha
cisterna	aquário
citrino	laranja/limão
civilidade	cortesia
ciência	matematica/matemática/psicologia/quimica/física/química
clareador	sabonete/sabão
classe	gradação/nacionalidade/proletariado/hierarquia/variante/versão/nível/posto/grau/segundo/tipo/posição
classificação	valorização/apreciação/avaliação
claustro	monastério/mosteiro/convento
cliente	assinante/subscritor/leitor
clima	vento/tempo
clérigo	bispos/cura/bispo/vigário/ministro/padre/pároco/pastor
coador	crivo/peneira
cobertura	envólucro/máscara/cobertor/camada/capa
cobre	cache/numerário/divisa/moeda/dinheiro
cognição	psique/atitude/mente/cabeça
coisa	pré-requisito/requisito/tópico/assunto/conteúdo/necessidade
colaboração	dedicação/conformidade
colecção	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo
colega	ficante/acompanhante
coleira	colar
coletor	cobrador
coleção	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo
colocação	armazenamento/espaçamento/depósito/inclinação/posição
colorante	pigmento/tinta/pintura/cor
comarca	empreendimento
combate	batalha/luta
combinação	mixagem/mistura
combustão	chama/flama/labareda/fogo
combustível	benzina/gasolina
comedor	vegetariano
comentário	apontamento/chacota/xiste/gracejo/piada/anotação/nota
comercialismo	industria/marketing/mercadologia/tráfico/marketing/tráfego/trânsito/pagamento/empresa/negócio/comércio
comerciante	barao/retalhista/varejista/magnata/mercador/dono/fornecedor/vendedor/negociante/proprietário
começo	iniciativa
comida	hortifruti/hortifruto/manteiga/queijo/repasto/sobras/vianda/refeição/vitamina/peixe/chocolate/bebida/carne/resto/prato
comissão	junta/comité/comitê/conselho/júri
comité	junta/comitê/conselho/júri
comitê	junta/comité/conselho/júri
comoção	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria
compaixão	misericórdia/piedade/afeição
companheiro	ficante/cônjuge/esposa/esposo/marido/acompanhante/varão/mulher/homem
companhia	distribuidor
compartimento	bagageira/porta-bagagem/porta-malas/camarote/mala
compatibilidade	harmonia
competidor	atleta/campeão/desportista/jogador/ganhador/participante/vencedor
competição	contenda/contestação/torneio/corrida/combate/partida/jogo/luta
complô	conjuração/conspiração
componente	elemento/hardware/destaque/excedente/ingrediente/realçe/restante/adição/módulo/resíduo/sobra/melhoria/resto/substância/começo/meio
comportamento	desfeita/ofensa/injúria
compra	compras/restituição/procura/retorno
comprador	assinante/subscritor/leitor
compreensão	epifania/insight/psique/lampejo/atitude/mente/cabeça
computador	site/website/sítio
compêndio	introdução
comunicado	correios/dramaturgia/contacto/correio/contato/discurso/exame/teatro/discussão/teste
comunicador	repórter/autor/escritor/jornalista/fonte
comunicação	correios/dramaturgia/contacto/demissão/agouro/indício/mensagem/presságio/correio/indicação/linguagem/contato/discurso/exame/aviso/idioma/teatro/discussão/anúncio/língua/sinal/programa/teste
comunidade	assentamento/constituintes/eleitores/júri/votantes/colônia/aldeia/povoado/júri/público/universidade/vila
comércio	industria/marketing/mercadologia/transportação/tráfico/turismo/aventura/indústria/manufatura/marketing/tráfego/trânsito/pagamento/transporte/empresa/negócio/expedição
concavidade	nicho
conceito	projecto/regulamento/atributo/noção/categoria/concepção/norma/possibilidade/programação/soma/característica/idéia/suposição/tema/teoria/lei/motivo/projeto/quantidade/regra/hipótese/preocupação/propriedade/qualidade/família/ideia/intenção/programa/plano/número/classe
conceitualização	esquema/memória
concepção	regulamento/atributo/noção/categoria/norma/possibilidade/soma/característica/idéia/suposição/teoria/lei/quantidade/regra/hipótese/propriedade/qualidade/família/ideia/número/classe
conclusão	abortação/abortamento/aposentadoria/demolição/placar/destruição/aborto/desolação/vitória/resultado
concorrente	campeão
concorrência	contenda/contestação
concurso	competição/torneio/corrida/combate/partida/jogo/luta
concórdia	consenso/acordo
condimento	molho/sal/alho/erva/pasta
condição	ascendencia/desemprego/nacionalidade/prontidão/recontro/repto/status/ambiência/delinquência/dominancia/estado/inimizade/integridade/melhora/preservação/relacionamento/superioridade/hierarquia/motivação/rapidez/saúde/complicação/confronto/conflito/conforto/hostilidade/melhoria/necessidade/ar/atmosfera/bagunça/culpa/desafio/equilíbrio/liberdade/perigo/preparação/situação/emprego/estado/posto/segurança/carência/tensão/controle/relação/domínio/meio/serviço/ordem/classe/posição
conductor	automobilista/chofer/condutor/motorista
conduta	desfeita/ofensa/injúria/caminho
condutas	canudo/escoadouro/tubo
conduto	canudo/tubo
condutor	automobilista/cobre/chofer/cobre/motorista/prata
conexão	parentesco/categoria/comparação/fundação/afinidade/porção/possessão/componente/propriedade/relação/parte
conferência	consulta
confinamento	detenção/custódia/restrição/limitação
confirmação	crisma/verificação
conflito	peleja/pugna/desacordo/discordo/insurreição/revolta/rixa/atrito/fricção/guerra/rebelião/discordância/disputa/combate/batalha/luta
conformidade	concessão/consenso/acordo
conforto	alívio
confronto	desacordo/discordo/rixa/atrito/fricção/discordância
conhecida	conexão
conhecido	camarada/companheiro/irmão/amigo/conexão
conhecimento	psique/atitude/circunstância/instância/mente/consideração/disciplina/evidência/familiaridade/cabeça/exemplo/representante/campo/domínio
conjunto	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo
conselho	repreensão/indicação
consenso	laissez-passer/passe/concessão/acordo
consentimento	laissez-passer/passe
consequência	efeitos/impacto/influência/efeito/produto
conseqüência	efeitos/impacto/influência/efeito/produto
conserto	manutenção
conservacionista	verde
conservas	compota/conserva/geléia
consideração	justificativa/justificação
consorte	cônjuge/esposa/esposo/marido/varão/mulher/homem
conspiração	conjuração
consternação	estupefação/pânico/terror/medo
construção	fabricação
consumidor	assinante/subscritor/freguês/cliente/comprador/leitor
consórcio	cartel
conta	censo/recenseamento/contagem/nota
contagem	censo/recenseamento
contaminação	poluição
contas	bisbilhotice/bisbolhetice/fofoca/conta/nota
contendor	atleta/campeão/desportista/jogador/ganhador/participante/vencedor
contentamento	satisfação
contente	satisfação
contentor	cassete/contentores/envelope/mostrador/mostruário/sobrecarta/vasilhame/xícara/balde/chávena/gaveta/louça/sobrescrito/tonel/vitrina/vitrine/cesta/copo/taça/cesto/lata/vasilha/vaso/colher/carteira/bolsa/prato/caixa
conteúdo	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/chávena/requerimento/significância/submissão/tolice/bobagem/propaganda/requisição/significação/solicitação/conselho/direção/matéria/promoção/publicidade/tópico/assunto/besteira/petição/tema/informação/apelo/opinião/significado/anúncio/entrada/história/intenção
continuidade	reinado
conto	enredo/mito/apólogo/argumento/lenda
contradição	paradoxo
contrato	apólice/aluguel/parceria/sociedade
controlador	interruptor/chave
controle	supremacia/monopólio/interruptor/chave/possessão/propriedade/domínio
controlo	possessão/propriedade
controvérsia	disputa/discussão
contêiner	cassete/contentores/envelope/mostrador/mostruário/sobrecarta/vasilhame/xícara/balde/chávena/gaveta/louça/sobrescrito/tonel/vitrina/vitrine/cesta/copo/taça/cesto/lata/vasilha/vaso/colher/carteira/bolsa/prato/caixa
convento	abadia
convergência	encontro/reunião
conversa	conversação/diálogo/troca/debate/discussão
conversação	diálogo/troca/debate/conversa/discussão
convexidade	pico/ponta
convicção	doutrina/expetativa/religião/filosofia/expectativa/certeza/fé
cooperação	dedicação/conformidade
coorte	jovem/juventude
cor	pigmento/tinta/pintura
