abadia	monastério/mosteiro/convento
agonia	dor/tormento/tortura/angústia/martírio/dor
agouro	mensagem/comunicação/experiência
agradecimento	reconhecimento/aceitação
agressão	acção/atividade/ato/ação
agricultor	creador/criador/criativo
agricultura	cultivo
agulha	implemento/ponteiro/instrumento/ferramenta
agência	empresa
aia	médico
aids	imunodeficiência
ajuda	dádiva/auxílio/brinde/dom/socorro/doação/assistência/presente/atividade/ocupação
ajudante	trabalhador
ala	órgão/aerofólio
alameda	avenida/via/rua/estrada/caminho
alarme	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
albergaria	hotel
albergue	hotel
albufeira	lago
album	livros/livro
alcance	ápice/nível/fase/grau/extensão
alcantilado	formação
alcatifa	mobília/mobiliário/tapete/móvel
alcinha	faixa
aldeia	municipalidade/município/comunidade
aldeã	habitante/morador
aldeão	habitante/morador
aleatoriedade	irregularidade
alegria	abalo/comoção/emoção/sentimento
alfabetismo	meta/técnica/habilidade/talento
alfabetização	meta/técnica/habilidade/talento
alfaia	mobília/mobiliário/móvel
algema	restrição/limitação
algibeira	bolsa
algodão	têxteis/pano/tecido/fazenda
alguém	causador/causa/organismo/ser
alho	aromatizante/condimento/tempero
aliada	associado
aliado	país/república/nação/associado
aliança	joalharia/joalheria/jóia
alimento	substância
alistamento	mobilização
alma	causador/causa/espirito/espírito/organismo/ser
almoeda	venda
almofada	enchimento
almoço	repasto/refeição
alocação	atribuição
alojamento	edifício/tecido/estrutura
aloprado	geek/excêntrico
alpercata	sapato/calçado
altar	edifício/tecido/estrutura
alteração	ocorrente/ocorrência/acontecimento
alternativa	decisão
altitude	altura
altura	altitude
alturas	região
aluguel	contrato/acordo
aluminio	metal/metais
alumnus	estudioso/erudito/especialista/acadêmico
alumínio	metal/metais
aluno	alguém/indivíduo/alma/pessoa/estudante
alvo	referência
alvorada	hora
alça	faixa
alínea	documentos
alívio	conforto
ama	doméstico/empregado/servidor
ama-seca	médico
amador	alguém/indivíduo/alma/pessoa
amadora	alguém/indivíduo/alma/pessoa
amanhecer	hora
amante	mulher/amado/cara-metade/seguidor
amargura	desgosto/mágoa/tristeza/dor/pesar
ambiente	região
ambição	apetite/pretensão/anseio/disposição/desejo
ambiência	estado/situação/condição/estado
ambulancia	auto/automóvel/viatura/carro/veículo
ambulância	auto/automóvel/viatura/carro/veículo
ameaça	perigo/risco
amigo	alguém/indivíduo/alma/pessoa/amiga/camarada/conhecido/amizade
amizade	alguém/indivíduo/alma/pessoa/relação/ligação
amontoado	massa
amor	amado/objecto/objeto/amante/objetivo
amostra	instância/exemplo/representante
amparo	proteção/capa
ampliação	aumento
amplidão	grandeza/magnitude/número
amuleto	objeto
analista	encolhimento/psiquiatra
analogia	inferência/raciocínio/dedução
anatomia	corpo
anca	membro/perna/anatomia
ancestral	parente
anchura	amplidão/dimensão/magnitude/extensão
andar	edifício/tecido/estrutura
andróide	mecanismo
anel	cabelo/joalharia/joalheria/jóia
anexo	adição/melhoria
anfetamina	estimulantes/estimulante
anfetaminas	estimulantes/estimulante
anfitrião	adulto
angústia	emoção/sentimento/impressão
animal	organismo/ser
anistia	mandado
aniversario	aniversário
aniversário	dia
anjo	espirito
ano	etapa/tempo/período
anoitecer	hora/jornada/dia
anotação	comentário/nota
anseio	emoção/sentimento/impressão
ansiedade	ânsia/preocupação
antagonista	alguém/indivíduo/alma/pessoa
antecessor	parente
antecipação	esperança
antecâmara	aposento/quarto/sala
antepassado	parente
antessala	aposento/quarto/sala
anunciação	afirmação/declaração
análogo	similardidade/semelhança
anúncio	propaganda/promoção/publicidade/mensagem/afirmação/comunicação/tópico/assunto/conteúdo/aviso/declaração
apara	fragmento
aparato	equipamento/ferramenta
aparelhador	alfaia/movéis/mobília/mobiliário/móvel
aparelho	equipamento/ferramenta/aparato/dispositivo/equipamento/mecanismo/instrumento/ferramenta
aparição	psiquê/alma
apartamento	alojamento/abrigo/casa
aparência	semblante/aspecto/qualidade
apatia	emoção/sentimento/impressão
apego	afecção/afetividade/carinho/afeto/afeição/amor
apelação	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
apelo	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/mensagem/tópico/assunto/conteúdo
apetite	anseio/emoção/sentimento/impressão
apetrecho	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aplicacao	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
aplicação	uso/utilização
apoio	auxílio/socorro/ajuda/assistência/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
apontamento	comentário/anotação/nota
apoplexia	ataque
aposentadoria	termino/terminação/conclusão
aposento	alojamento/abrigo/casa
apostila	livro
apoteose	exemplo/modelo
apreciação	deferência/categorização/classificação/respeito
apresentação	demonstração/informação
aprovaçã0	apoio/suporte
aprovação	apoio/suporte/triunfo/êxito/sucesso/aplauso
aproximação	cálculo
aptidão	habilidade
apêndice	adendo/post-scriptum
apólice	contrato/acordo
apólogo	estória/conto/história
aquecimento	instalação
aquário	cisterna/viveiro/tanque
ar	estado/situação/condição/estado/gás
aragem	vento
arame	ligamento
aranha	aracnideos/aracnídeos/aracnídeo
arapuca	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
archote	luz
arco	curva/armamento/arma/boca/entrada/faixa/linha
arco-íris	arco
ardor	emoção/sentimento/impressão
areia	solo/terra
arena	edifício/tecido/estrutura/território/ambiente/área/região
argila	solo/terra
argumentação	raciocinio/razoamento/raciocínio
argumento	estória/conto/história
argüido	litigante
aria	música
arlequim	palhaço/bufão/bobo
arma	aparelho/armamento/instrumento/ferramenta
armadilha	arapuca/rede/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
armamento	aparelho/instrumento/ferramenta
armazenamento	colocação/depósito
armário	alfaia/movéis/mobília/mobiliário/móvel
arquitecto	creador/criador/criativo
arquitectura	disciplina/campo/domínio
arquiteto	creador/criador/criativo
arquitetura	disciplina/campo/domínio
arraial	municipalidade/município
arrecadação	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
arrematação	venda
arroz	farinhas/cereal
arrumadeira	doméstico/empregado/servidor
arte	meta/ofício/técnica/profissão/ocupação/criação/emprego/função/habilidade/talento/serviço/trabalho/lugar
artelho	dígito/dedo
articulação	anatomia
articulações	anatomia
artifício	desvantagem/obstáculo
artigo	notícia/notícias/informação/bens/não-ficção/mercadoria/peça/fazenda/produto/bem
artista	intérprete/creador/criador/criativo
arvoredo	chão/relevo/solo/terra/bioma/biomas
asa	adição/melhoria/órgão/aerofólio
ascendencia	estado/situação/condição/estado
ascenção	mudança
asilo	enfermaria/hospital/refúgio
aspecto	semblante/aparência/qualidade
aspirador	electrodoméstico/eletrodoméstico
aspiradordepó	electrodoméstico/eletrodoméstico
aspiração	apetite/pretensão/anseio/disposição/desejo
assalariado	trabalhador
assalto	furto/roubo/atentado/ataque
assassinato	homicídio
assassino	alguém/indivíduo/alma/pessoa
assassínio	homicídio
assembléia	legislatura
assentamento	comunidade/grupo
assento	alfaia/movéis/mobília/mobiliário/móvel/cadeira
asserção	declaração/afirmação/declaração
assessor	autoridade
assessoramento	proposta
assinante	freguês/cliente/comprador/consumidor
assinatura	antenome/prenome/nome
assintência	tarefa/trabalho
assistente	trabalhador
assistência	atividade/ocupação
associação	organização/memória/relação/ligação
assombração	psiquê/alma
assunto	mensagem/tópico/conteúdo/coisa
assédio	bloqueio
asterisco	grafema/letra
astúcia	astucidade/sagacidade
atadura	curativo
ataque	criticismo/crítica/julgamento/manobra/operação
ataúde	caixa
atenção	faculdade/talento
atestado	documentação/documento
atitude	cognição/noção/conhecimento/compreensão
atividade	feição/peculiaridade
atleta	competidor/contendor
atmosfera	ambiência/estado/ar/situação/condição/estado/gás
ato	acontecimento/evento/fato
ator	intérprete
atrapalhação	obstrução/impedimento/obstáculo
atraso	ociosidade
atratividade	qualidade
atração	espectáculo/show/qualidade/força
atribuição	alocação
atributo	conceito/concepção/idéia/ideia
atrito	recontro/confronto/conflito
audiências	reunião
audácia	agressividade
augúrio	experiência
aula	didáctica/ensinamento/ensino/pedagogia/educação/instrução/formação/reunião
aumento	acrescentamento/quantidade/número
aurora	hora
ausência	necessidade/carência/falta
auto-alimentação	resposta/resultado
auto-controle	firmeza
auto-destruição	assassinato/homicídio/morte
auto-estima	orgulho
auto-estrada	autoestradas/rodovia/estrada
autoestrada	autoestradas/auto-estrada/rodovia/estrada
automobilista	conductor/chofer/condutor/motorista
autonomia	independência/liberdade
autor	comunicador
autoridade	alguém/especialista/indivíduo/alma/pessoa
autorização	aplauso/aprovação
autômato	mecanismo
auxilio	ajuda
auxílio	atividade/ocupação
aval	declaração/garantia
avaliação	categorização/classificação
avaria	alteração/modificação/variação/mudança/desastre
avc	ataque
ave	vertebrado
avenida	rua
aventura	industria/empresa/negócio/comércio/projeto/tarefa
aversão	nojo/relutância/asco/repugnância/hesitação/náusea/abominação/repulsa
aviação	indústria
aviso	comunicação/anúncio
avião	navio
avó	avós/avô
avô	avós/avó
azar	fenómeno/fenômeno
azul-ferrete	azul
azul-marinho	azul
aço	liga
açoite	aparelho/instrumento/ferramenta
ação	enredo/argumento/acontecimento/evento/fato
açúcar	adoçante
baga	fruta
bagageira	compartimento
bagunça	estado/situação/condição/estado/desordem
baile	dança
bairro	vizinhança
baixa	vítima
baixada	depressão
bala	projéctil/míssil/projétil
balança	metro
balanço	brinquedo/igualdade
balconista	assalariado/empregado/operário
balcão	edifício/tecido/estrutura/mesa
balde	vasilhame/vasilha/vaso/contentor/contêiner/recipiente
baldeação	transporte/transferência
baleia	cetáceos
baloiço	brinquedo
balsa	batel/bote/escaler/barco
balão	brinquedo
balé	coreografia
banana	fruta
bancarrota	insolvência
banco	assento/cadeira
banda	selecção/gama/ornamento/seleção/decoração
bandeira	pendão/estandarte/pavilhão/naipe/emblema
bandeja	recipiente
bando	aglomeração
bangalô	vivenda/habitação/casa
banheira	vasilhame/vasilha/vaso
banheiro	aposento/quarto/sala
banqueta	assento/cadeira
banquete	repasto/refeição/jantar
banquinho	assento/cadeira
bar	aposento/quarto/sala/taverna/boteco/taberna
baralho	pacote
barao	homemdenegócios/empresário/negociante/comerciante
barco	embarcações/embarcação/navios/navio/navio
barra	encosto/apoio/suporte/implemento/instrumento/ferramenta
barraca	bancas/banca/estande/asilo/refúgio
barraco	asilo/refúgio
barranco	declive/declives/subida/encosta/costa/ladeira/elevação
barraquinha	bancas/banca/estande
barreira	mecanismo/obstáculo
barrete	chapéu
barriga	anatomia/víscera/região
barril	vasilhame/vasilha/vaso
barro	matéria/substância
base	encosto/apoio/escritório/suporte/fundo/flanco/pressuposição/suposição/hipótese
bastão	implemento/instrumento/ferramenta
batalha	combate/empenho/conflito/esforço/luta
batata	parreira/cipó/videira
batel	embarcações/embarcação/navios/navio/barco
baterpalmas	ruído
batida	ruído/som
batidinha	choque
batraquio	anfibios/anfíbios/anfíbio
bazófia	humor
baía	água
bebida	nutriente/comida/alimento/líqüido
bebé	criança/filho/menino
bebê	criança/filho/menino
beira-mar	orla/costa/litoral
beleia	cetáceos
bem	possessão/propriedade/amado/predominância/vantagem/amante/benefício/qualidade
bem-estar	eudemonismo/saúde/prosperidade/sucesso
bem-vindo	saudação
beneficiário	destinatário
benefício	bem
bengala	bastão
benzina	carburante/combustível/hidrocarboneto
berlinde	bola
berma	aba/borda/fronteira/limite
besta	organismo/ser
besteira	mensagem/tópico/assunto/conteúdo
betão	piso
biberão	vasilhame/vasilha/vaso
biblioteca	prédio/edifício
bicha	fila/linha/array/formação/ordem
bicho	organismo/ser
bico	boca
bife	vianda/carne/corte
bifsteque	corte
biografia	crónica/crônica
biologia	colecção/coleção/aglomeração/acúmulo
biombo	superfície
biota	colecção/coleção/aglomeração/acúmulo
bisbilhotice	contas/reporte/relato/relatório
bisbolhetice	contas/reporte/relato/relatório
biscate	ofício/profissão/ocupação/emprego/função/serviço/trabalho/lugar
biscoito	bolo
bispo	presbítero/padre/sacerdote/clérigo/pastor
bispos	presbítero/padre/sacerdote/clérigo/pastor
bloco	sólida/território/ambiente/área/região/sólido
boato	bisbilhotice/bisbolhetice/fofoca
bobagem	mensagem/tópico/assunto/conteúdo
bobo	matarruano/simplória/simplório/palhaço/bufão/idiota/estúpido
boca	abordagens/acesso/estrada/caminho
bocada	bocado
bochecha	traço
boda	cerimónia/cerimônia/festa
bode	bovídeos
bola	brinquedo/aglomeração/esfera
bolacha	bolo
bolbo	caule/tronco
boleia	passeio
boletim	estória/relato/artigo
bolha	glóbulo
bolo	fornada
bolor	fungo/fungos
bolsa	ajuda/contentor/contêiner/recipiente
bolso	bolsa
bomba	armamento/munição/arma
bombardeiro	aeroplano/avião
bombeira	protetor/guardião/defensor/guarda
bombeiro	protetor/guardião/defensor/guarda
bombeiros	protetor/guardião/defensor/guarda
bondade	moralidade/moral/virtude
boneca	brinquedo
boneco	brinquedo
boné	chapéu
boom	prosperidade
borboleta	lepidópteros
borboletas	lepidópteros
borbulha	glóbulo
borda	fronteiras/fronteira/limite
bosque	chão/relevo/solo/terra/bioma/biomas
bota	calçados/calçado
bote	embarcações/embarcação/navios/navio/barco
boteco	taverna/taberna
botelha	vasilhame/vasilha/vaso
botequim	taverna/boteco/taberna
boto	odontoceti/odontocetos
botão	interruptor/chave
boutique	shopping
brado	enunciado/vocalização/expressão
braço	membro/perna
brilho	inteligência/luz
brincadeira	humor
brinde	aquisição
brinquedo	artefato
brio	auto-estima/orgulho
brisa	vento
brita	rocha/pedra
brocha	implemento/instrumento/ferramenta
brochura	livro
bronze	escultura
bronzeado	hiperpigmentação
bruma	nevoeiro/névoa/neblina/aerossol/aerossóis/neblina
buffet	repasto/refeição
bufão	palhaço/bobo
bule	pote
bulevar	avenida/rua
bumbum	anatomia
bunda	anatomia
buraco	oco/vão/abertura/fenda
burgo	municipalidade/município
busca	investigação/pesquisa/buscar/procurar
buzina	alarme
báscula	metro
cabana	vivenda/habitação/casa/asilo/refúgio
cabeça	cognição/líder/noção/chefe/conhecimento/compreensão
cabimento	intercorrência/opção/alternativa/eleição/escolha
cabo	toa/corda/fio/corda/barra/linha
cabra	bovídeos
cabrita	bode/cabrito/cabra/bode
cabrito	bode/cabra/bode/bovídeos
cache	cobre/divisa/moeda/dinheiro
cacho	cabelo
cachoeira	água
cachorra	canídeo/cão
cachorro	canídeo/cão
cachorro-quente	enchidos/lingüiça/salsicha
cadeia	ligamento/empresa/restrição/limitação
cadeira	alfaia/movéis/mobília/mobiliário/assento/móvel/cargo/posto/posição
cadeirão	assento/cadeira
cadela	canídeo/cão
caderno	livros/livro
cadáver	defunto/morto/corpo
cafeteria	restaurante
café	restaurante/bebida
cafés	restaurante
cais	porto
caixa	contentor/contêiner/recipiente
caixeiro	assalariado/empregado/operário
caixão	caixa
calabouço	aposento/quarto/sala
calamidade	infortúnio/azar
calcanhar	esqueleto
calculadora	maquinaria/máquina
caldeiras	pote
calefacção	instalação
calefação	instalação
calendário	estrutura/sistema/organização/ordem
calibre	grau
calma	quietude/silêncio/paz
calça	vestuário/roupa
calçado	calçados
camada	cobertura/região/capa
camarada	amiga/conhecido/amizade/amigo
camareira	doméstico/empregado/servidor
camarilha	círculo/grupo/ordem
camarote	compartimento
cambial	locução/provérbio/ditado/expressão/idioma
caminho	trâmite/conduta/via/rodovia/corrente/curso/estrada/efetuação/implementação/acção/via/atividade/ato/execução/ação/realização/estrada/fronteira
camisa	vestuário/roupa
camiseta	camisa
campainha	botão
campanha	manobra/operação/corrida
campeão	desafiante/rival/competidor/contendor/concorrente
campismo	locação/sítio/lugar
campo	gleba/terreno/conhecimento/região/saber
campos	gleba/terreno/região
camundongo	roedor
canal	água
canapé	assento/cadeira
candeeiro	alfaia/movéis/mobília/mobiliário/móvel
candidato	alguém/indivíduo/político/alma/pessoa
candidatura	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
cano	cilindro
cantador	instrumentalista/instrumentista/tocador/músico
canteiro	campos
canto	lugar
cantor	instrumentalista/instrumentista/tocador/músico
canudo	canais/pipeline/cachimbo/cano/condutas/conduto/tubo/ducto/duto/canal
capa	cobertura
capacete	chapéu
capacidade	volume/habilidade
capataz	orientador/supervisor
capital	activos/ativos/bens/recursos/ativo/divisa/moeda/dinheiro
capricho	apetite/pretensão/anseio/desejo
caprichoso	apetite/pretensão/anseio/desejo
capítulo	seção/parte
cara	ambiência/ar/atmosfera
caracol	gastrópodes
caracter	grafema/letra
característica	conceito/atributo/concepção/idéia/propriedade/qualidade/ideia/qualidade
caractér	grafema/letra
caramujo	gastrópodes
carburante	substância
cardápio	dieta/alimento
carga	cargueiro
cargo	ofício/profissão/ocupação/emprego/função/serviço/trabalho/lugar
caricatura	humor
caridade	estabelecimento/instituição/instituto/doação
carnaval	exibição/apresentação
carne	vianda/corpo/comida
carneiro	bovídeos
carola	adoração
carona	passeio
caroço	epicarpo
carpete	mobília/mobiliário/tapete/móvel
carregador	obreiro/trabalhador/operário
carta	texto/papel/documento
carteamento	distribuição
carteio	distribuição
carteira	contentor/contêiner/recipiente
carteiro	entregador
cartel	consórcio/sindicato
cartoon	humor
cartão	correspondência/papel
cartão-postal	cartão
carvalho	árvore
carvalho-vermelho	árvore
carvão	petróleo
carácter	grafema/letra
caráter	reputação/fama/honra/renome
carência	estado/ausência/escassez/necessidade/deficiência/situação/condição/estado/falta/quantidade/número
casa	endereço/morada/alojamento/aposento/moradia/prédio/domicílio/residência/edifício/abrigo/habitação/tecido/estrutura/lar
casaco	sobretudo/vestuário/roupa
casademoinho	fábrica/usina/planta
casal	dupla/par/família
casamento	cerimónia/rito/cerimônia/promessa/ritual/festa/família
cascalho	rocha/pedra
cascata	água
casco	chapéu
casebre	asilo/refúgio
casinha	vivenda/habitação/casa
casinhola	vivenda/habitação/casa
caso	alguém/indivíduo/alma/pessoa/ocorrente/ocorrência/acontecimento
cassete	contentor/contêiner/recipiente
castelo	fortaleza/fortificação
cataclismo	infortúnio/azar
catarata	água
catedra	cargo/posto/posição
catedral	igrejas/igreja/templo
catedrático	acadêmico/professor
categoria	conceito/concepção/idéia/ideia/conexão/relação
cativo	desafortunado/desventurado/infortunado
catálogo	livro
catástrofe	infortúnio/azar
catástrofes	infortúnio/azar
caule	órgão
cavaleiro	turista/viajante
cavalgador	turista/viajante
cavalheiro	homem
cavalo	equino/equídeo/ungulados
cave	pavimento/piso/andar
caveira	osso
caverna	formação
cavernas	formação
cavilha	tarraxa/parafuso
cavouco	oco/buraco
caxarelo	cetáceos
caxaréu	cetáceos
caçamba	vasilhame/vasilha/vaso
caçoada	humor
cebola	bolbo/caule/tronco
ceia	repasto/refeição
cela	aposento/quarto/sala
celebração	recreaçao/diversão
celebridade	honra
cemitério	locação/sítio/lugar
cemitérios	locação/sítio/lugar
cenografia	afiguração/representação/imagem/figura/ilustração/desenho
cenoura	raíz/raiz
censo	enumeração/contagem/conta
censura	deletamento/deleção/exclusão
centavo	divisa/peça/moeda/prata
centro	prédio/edifício/lugar
centúria	etapa/tempo/período
cenário	cerque/entorno/premissa/pressuposto/envolvente/ambiente/meio
cepa	taxon/taxón/táxon
cerca	barreira/obstáculo
cercado	terreno/campo
cerco	bloqueio
cereal	farinhas/alimento
cereja	drupa/fruta
cerimónia	acontecimento/festa
cerimônia	acontecimento/festa
cerque	região
certeza	convicção/crença/fé/opinião
certidão	documentação/documento
certificado	documentação/documento
cerveja	fermentação
cervejaria	fábrica/usina/planta
cervidae	ruminantes/ruminante
cervo	ruminantes/ruminante
cervídeo	ruminantes/ruminante
cesta	contentor/contêiner/recipiente
cesto	contentor/contêiner/recipiente
chacota	comentário/observação
chaleira	pote
chalé	vivenda/habitação/casa
chama	combustão
chamada	enunciado/vocalização/expressão
chamariz	tentação
chaminé	lareira/passagem
chance	possibilidade
chantagem	extorsão
chapa	organização
chapéu-de-chuva	toldo
charco	água
chauvinista	fanático
chave	listagem/lista/aparato/dispositivo/controlador/aparelho/equipamento/mecanismo/instrumento/controle/ferramenta
chefe	alguém/líder/orientador/supervisor/indivíduo/alma/pessoa
chegada	ocorrente/ocorrência/acontecimento
cheiro	ambiência/ar/atmosfera/atributo/propriedade
chibata	aparelho/instrumento/ferramenta
chicote	aparelho/instrumento/ferramenta
chinchilla	traço
chinelo	sapato/calçado
chinês	mídia
chip	semicondutor/semicondutores
chiste	humor
chocolate	comida
chofer	conductor/condutor/motorista/manipulador/operador
choque	reflexo/reflexos/estupefação
choupana	asilo/refúgio
choça	vivenda/habitação/casa/asilo/refúgio
chumbo	metal/metais
chuva	precipitação
chuvisco	chuva
chá	bebida
chácara	laboratório/oficina/emprego/trabalho
chávena	contentor/contêiner/faiença/louças/recipiente/conteúdo
chão	objeto
ciberespaço	rede
cicatriz	defeito
ciclo	repetição
cidade	municipalidade/município
cidadã	súdito/cidadão
cidadão	súdito
cientista	alguém/indivíduo/alma/pessoa
cifra	custo
cilindro	sólida/sólido
cima	área/região
cimeira	reunião
cine	mídia/teatro/casa
cinema	espectáculo/show/mídia/bens/teatro/produto/produção/casa
cinto	acessório
cintura	região
cinza	residuo
cinzas	residuo
circulação	colecção/coleção/aglomeração/acúmulo
circunscrição	regiões/região
circunstância	ambiente/informação/conhecimento
circunstâncias	estado
cirurgia	medicina
cirurgião	dr./doutor/médico
cisma	divisão
cisão	divisão
citação	apontamento/excerto/extrato/trecho/anotação/passagem/nota
civil	cidadã/cidadão
civilização	sociedade
ciência	disciplina/campo/domínio
clareira	terreno/campo
classe	status/aposento/conceito/hierarquia/concepção/idéia/população/quarto/condição/estado/gente/pessoal/posto/sala/ideia/povo/jogo/grupo/posição/avaliação/categoria/espécies/raça/situação/condição/estado/género/tipo/reunião
clava	bastão/pau/vara
clemência	leniência
cliente	consumidor
clima	tempo
clube	associação/sociedade/união/organização/ordem
clérigo	pároco/sacerdote/pastor
coador	passador
coalescência	unificação/junção
cobaia	alguém/indivíduo/alma/pessoa
cobertor	cobertura/capa
cobertura	capa
cobra	diapsida
cobrador	recolhedor/coletor
cobrança	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
cobre	metal/metais/condutor
cogumelos	basidiomicetos
coice	estimulante/estímulo
coima	intimação
coincidência	acidente/ocorrente/ocorrência/acontecimento
coirela	banda
cola	cimento
colapso	ocorrente/ocorrência/acontecimento
colar	coleira
colas	cimento
colectas	imposto
colecção	agrupação/conjunto/grupo
colega	associado
coleira	restrição/faixa/limitação
coleção	agrupação/conjunto/grupo
colheita	sazão/estação/tempo/período/rendimento
colher	contentor/contêiner/faqueiro/talheres/recipiente
colina	elevação
colo	coxa/anca
colocação	atividade/ocupação
coluna	array/ordem
colégio	prédio/edifício
colónia	região
colônia	comunidade/região/grupo
comarca	regiões/região
combate	certame/concurso/competição/torneio/partida/batalha/jogo/conflito/luta
combinação	colecção/coleção/aglomeração/acúmulo
combustível	substância
comemoração	reconhecimento/crédito
comentário	afirmação/percepção/declaração/observação
comercialismo	transação
comerciante	mercador/negociante/empresário
comerembanquete	repasto/refeição
começo	instante/componente/momento
comichão	apetite/pretensão/anseio/desejo
comida	substância
comissão	estipêndio/encargo/remuneração/taxa/custo/organização
comité	junta/comissão/comitê/organização
comitê	junta/comissão/comité/organização
comoção	desordem/emoção/sentimento/bagunça/impressão
compacto	auto/automóvel/viatura/carro/veículo
compaixão	misericórdia/piedade
companheiro	parente/cara-metade/amiga/camarada/conhecido/amizade/amigo
companherismo	amizade
companhia	organização/corpo
comparação	conexão/relação
compartimento	aposento/quarto/sala
compensação	retificação/correção
competição	certame/concurso/torneio/partida/jogo
competência	habilidade
complicação	situação/condição
complô	planos/táctica/estratégia
componente	categoria/porção/parte/porção/conexão/relação/parte
comportamento	atividade/ocupação
compositor	musico/músico
composição	atributo/propriedade
compota	conservas
comprador	consumidor
compras	compra/aquisição
compreensão	influência/força/tendência
comprimento	alcance/extensão
comprimido	dose
compromisso	afirmação/declaração/encontro/reunião
computador	maquinaria/máquina
compêndio	livro
comunicação	abstração/aviso/anúncio
comunista	político
comédia	drama
comércio	comercialismo/mercantilismo/transação
conceito	idéia/pensamento/opinião
concentração	atenção/atributo/densidade/faculdade/propriedade/talento
concepção	conceito/idéia/pensamento/opinião/criatividade/transa/sexo
concerto	atuação
concertos	atuação
concessão	consenso/pacto/aliança/conformidade/aprovação/acordo
conclusão	ocorrente/ocorrência/acontecimento/seção/parte
concreto	piso
condecoração	prémio/prêmios/galardão/prémio/prêmio
condição	premissa/pressuposto/afirmação/declaração/situação/estado
conductor	manipulador/operador
conduta	acção/atividade/ocupação/ato/ação
condutor	conductor/materiais/chofer/motorista/manipulador/operador
conexão	conhecida/transporte/conhecido/transferência/amizade/amigo/estado/união/memória/ligação
confederação	união
conferência	ensino/pedagogia/educação/reunião
confiança	dependência/segurança
confirmação	evidência/prova
confissão	admissão
conflito	incompatibilidade/situação/condição/estado
conflitos	incompatibilidade
conformidade	colaboração/cooperação
conforto	estado/situação/condição/estado/socorro/ajuda/assistência/riqueza
confrontação	discórdia/discordância
confronto	discórdia/situação/condição/discordância/estado
confusão	equívoco/engano/falha/erro/desordem/bagunça
